LATITUDE,LONGITUDE,nome,id
-33.47799751599996,-67.55455391199996,La Paz,B3280
-33.34273968399998,-67.91174478799996,La Dormida Pueblo,B3285
-33.328563121999935,-67.95461224199994,La Dormida,B3390
-37.657281110999975,-67.75211729499995,Corcobo,C1050
-37.345718605999934,-67.61610972099999,Puelen,C1100
-36.40568017499993,-67.14210351599996,Algarrobo del Aguila,C1200
-36.22960073499996,-66.94872345299996,Santa Isabel,C1300
-33.49190897999995,-64.31704055999995,San Basilio,C2720
-33.513275153999984,-64.67011323499997,Bulnes,C2730
-33.46742977499997,-64.42016847499997,Sistema Sur ,C2736
-33.46032985099998,-64.386835273,Malena - Rio IV,C2738
-33.44770895099998,-64.31574804299999,CT Maranzana,C2745
-33.38641074299994,-63.97296581499995,Manisero,C2757
-33.37300157499993,-63.88980097999996,Las Acequias,C2775
-33.34367339999994,-63.72032916899997,Alejandro Roca,C2780
-33.34367339999994,-63.72032916899997,Alejandro Roca II,C2781
-33.28668942799993,-63.33477782099993,La Carlota,C2785
-33.274187893999965,-63.29367118999994,Pedro Funes,C2790
-33.23052027399996,-63.00318941199998,Pascanas,C2800
-33.207478511999966,-62.78444233399995,Wenseslao Escalante,C2810
-33.202811924999935,-62.73976460899996,Gasoducto Regional Sur Este - RUTA 8,C2814
-33.18435620699995,-62.59491530799994,Monte Maiz,C2820
-33.15390953999997,-62.387938220999956,Isla Verde,C2830
-33.140335651999976,-62.30326704899994,Gral. Baldissera,C2840
-33.13684186399996,-62.28844951099995,Inrriville,C2850
-33.123457531999975,-62.11545487999996,Camilo Aldao,C2860
-32.99032102499996,-62.02282024099998,Los Surgentes,C2865
-33.01849621399998,-61.81852064999998,Cruz Alta,C2870
-35.106120413999975,-66.83270916899994,La Mora,C3020
-35.1069828053,-66.8297564563,GNL La Mora,C3025
-33.79575183099996,-66.64764733499999,El Bebedero,C3120
-33.78957243999997,-66.43552971599996,Zanjitas,C3140
-33.64422213499995,-65.54638158899996,Glucovil,C3220
-33.643369261999965,-65.54576348199998,Villa Mercedes,C3240
-33.63306468099995,-65.52173134399999,Valle de Conlara,C3250
-33.631298406999974,-65.49114787899998,Crafmsa,C3260
-33.58560971199995,-65.14890221099995,Justo Daract,C3270
-33.073711955999954,-61.79818252899997,Arteaga,C4080
-33.09829197899995,-61.699449362999985,San Jose de la Esquina,C4095
-33.139260546999935,-61.47728197599997,Arequito,C4110
-33.06210545199997,-61.521888883999964,Villa Eloisa,C4125
-33.02231393399995,-61.34290389399996,Regional Sur,C4140
-33.01164166099994,-61.05004232899995,Pujato,C4200
-35.106120413999975,-66.8327091689999,Gas Andes - Gas Comb,C9556
-22.23333,-63.7,Campo Duran,I0001
-38.3,-68.36,Aguada San Roque,I0061
-38.3,-68.36,Aguada Pichana,I0062
-38.3,-68.36,Total Interconexion,I0063
-38.3,-68.36,Pluspetrol Intercone,I0070
-38.3,-68.36,Centro Este,I0074
-38.3,-68.36,Loma de La Lata,I0080
-38.3,-68.36,Mega 2,I0085
-38.3,-68.36,Borde Montuoso,I0087
-38.3,-68.36,Petrolera Santa Fe,I0090
-38.3,-68.36,Fortin de Piedra,I0093
-38.3,-68.36,Vaca Muerta,I0094
-38.3,-68.36,Coiron Amargo,I0096
-34.3473991672,-59.0153733244,GNL Escobar-Cardales,I0200
-22.252578726999957,-63.71362795599998,Aguaray,N1040
-22.350855928999977,-63.76678605999996,CT Piquirenda,N1043
-22.515464561999977,-63.78779835399996,Tartagal (ciudad),N1050
-22.515464561999977,-63.78779835399996,Tartagal III,N1055
-22.60124424299994,-63.80106654399998,Mosconi,N1070
-22.7334105452,-63.8218520516,Cornejo,N1073
-22.9379646409,-63.8549625359,Ballivian ,N1076
-23.198822063999955,-64.10189702699995,Embarcacion,N1080
-23.31667,-64.21667,Gasoducto Atacama,N1085
-23.305104968999956,-64.21770814499996,Pichanal,N1090
-23.305104968999956,-64.21770814499996,Norandino,N1095
-23.431377419999933,-64.35615671399995,Colonia Santa Rosa,N1100
