De,Para,Custo
C1200,C2781,"0,0"
C3020,C9556,"0,0"
C3020,C9556copy,"0,0"
C4095,S4503,"0,0"
E9121,E9121copy,"0,0"
I0001,N1287,"0,0"
I0061,I0062,"0,0"
I0061,I0074,"0,0"
I0061,I0080,"0,0"
I0061,I0085,"0,0"
I0061,I0087,"0,0"
I0061,I0090,"0,0"
I0061,I0093,"0,0"
I0061,I0094,"0,0"
I0061,I0096,"0,0"
I0063,I0063copy,"0,0"
I0063,I0070,"0,0"
I0063,I0070copy,"0,0"
I0200,R0538,"0,0"
I0200,R0538copy,"0,0"
I0200,R5201,"0,0"
N1050,N1055,"0,0"
N1085,N1085copy,"0,0"
N1085,N1095,"0,0"
N1085,N1095copy,"0,0"
N1120,N8020,"0,0"
N1200,N1205,"0,0"
N2034,N2048,"0,0"
N2215,N2217,"0,0"
N2215,N2219,"0,0"
N2215,N2222,"0,0"
N2215,N2224,"0,0"
N2215,N2226,"0,0"
N2215,N2229,"0,0"
N2215,N2258,"0,0"
N2220,N2227,"0,0"
P4322,P4340,"0,0"
P4433,P4440,"0,0"
P4501,P4502,"0,0"
P5015,P5020,"0,0"
P5022,P5028,"0,0"
P5430,P5431,"0,0"
P5430,P5440,"0,0"
P5541,P5541copy,"0,0"
R0394,R0394copy,"0,0"
R5260,R5265,"0,0"
R5260,R5270,"0,0"
S4550,S4560,"0,0"
S9115,S9140,"0,0"
S9251,U1000,"0,0"
S9251,U1000copy,"0,0"
N1364,N1367,"9,493529796600342e-05"
R5260,R5295,"0,0008276267400174632"
C4110,C4125,"0,010106039718129876"
R5140,R5180,"0,029613422400203093"
N2552,N2560,"0,03649172572117627"
S4451,S4590,"0,045691403236236466"
S4527,S4530,"0,049892992723862585"
P5430,R5420,"0,05190365483481073"
N2373,N2398,"0,07203481218709025"
P4401,P4405,"0,072280247096103"
N1285,N1290,"0,08403983372900514"
S4451,S4490,"0,09274673312489558"
N2370,N2398,"0,09311004099803524"
I0200,R5220,"0,10448499709325601"
C3220,C3240,"0,11075910438378458"
P4360,P4365,"0,1122352058302056"
R5150,R5280,"0,1350913278411447"
N1364,N1372,"0,14494994133797937"
N1185,N1200,"0,15437536196315707"
P4345,P4360,"0,16103030351614162"
P4470,P5010,"0,16794539881686174"
R5100,R5120,"0,1904430945710027"
P5370,P5405,"0,20123784245801593"
P5338,P5340,"0,24629564786295613"
R5140,R5160,"0,25843473670843"
N2330,N2335,"0,27613941597744196"
C3020,C3025,"0,28520323742031717"
C3020,C9551,"0,3461606413594732"
R5240,R5290,"0,5148599855458665"
R5160,R5240,"0,5714314572116529"
P5380,P5408,"0,5943723493943665"
N2370,N2380,"0,5994122245624941"
R5100,R5130,"0,7975737851112302"
N2215,N2228,"0,842511153032075"
P5480,R9381,"0,9557298891536654"
R5130,R5220,"0,9647414486252985"
P4190,P4193,"1,034740804279166"
E9121,S9251,"1,1164184714215408"
S4504,S4505,"1,1612101359885167"
P4395,P4399,"1,1630213049604168"
P4501,P5100,"1,2333381352209642"
N1085,N1090,"1,2903351652621349"
C2840,C2850,"1,4333022576020016"
R5260,R5272,"1,4776415944741756"
S4460,S4490,"1,5510725246257844"
P5338,P5350,"1,6259711674618147"
R5275,R5300,"1,7772562310956397"
P5022,P5050,"1,8727844043779214"
P5460,P5480,"1,9157969358305886"
R5262,R5272,"1,9252471791400514"
S4605,S4635,"1,938563903038341"
P5370,P5408,"1,9606925800477293"
C2860,C2865,"2,0200724426942775"
R5280,R9410,"2,0908264391868645"
N1360,N1367,"2,130494580981673"
R5120,R5290,"2,3259551854227247"
R5180,R5295,"2,5006208587697634"
C3240,C3250,"2,5025148152108367"
S4460,S4500,"2,54270067894706"
N2580,N2585,"2,54999962768428"
I0001,N1040,"2,5589887063976575"
C2870,C4080,"2,7514282375689882"
N4032,N4035,"2,7906332519186"
C3250,C3260,"2,838282879715138"
N2420,N2426,"2,9109128719456083"
S9115,S9120,"3,1339764430425654"
C2736,C2738,"3,1912669419470876"
N2440,N2468,"3,25922028786109"
N1331,N1340,"3,3305301831827694"
R5275,R9410,"3,4194383830669812"
P5541,R9381,"3,4316507439092763"
P4399,P4401,"3,6172830275359575"
P5050,P5060,"3,6269711233415984"
P4190,P4280,"3,629454532354563"
N2636,N2640,"3,8070203241560585"
N1340,N1346,"3,989279535296626"
P4433,P4435,"4,001850126057573"
C2785,C2790,"4,066203400943031"
C2810,C2814,"4,189010380910429"
S4620,S4635,"4,23339666253709"
B3285,B3390,"4,283008157945056"
P4405,P4415,"4,468311072604524"
